symbol,trade_mode,in_market_watch
AA,FULL,0
AAPL,FULL,0
AAVEUSD,FULL,0
ADAUSD,FULL,0
ADBE,FULL,0
ADS,FULL,0
AF,FULL,0
AGG,FULL,0
AIR,FULL,0
AMC,FULL,0
AMX,CLOSEONLY,0
AMZN,FULL,0
APEUSD,FULL,0
ATMUSD,FULL,0
AUDCAD,FULL,0
AUDCHF,FULL,0
AUDJPY,FULL,0
AUDNZD,FULL,0
AUDUSD,FULL,0
AUS200Cash,DISABLED,0
AVAXUSD,FULL,0
AXP,FULL,0
BA,FULL,0
BABA,FULL,0
BAC,FULL,0
BAS,FULL,0
BAYN,FULL,0
BBVA,CLOSEONLY,0
BCHBTC,FULL,0
BCHUSD,FULL,0
BIDU,FULL,0
BMW,FULL,0
BNBUSD,FULL,0
BNP,FULL,0
BRN,FULL,1
BRNCash,FULL,0
BSAC,FULL,0
BTCEUR,CLOSEONLY,0
BTCUSD,FULL,1
C,FULL,0
CADCHF,FULL,0
CADJPY,FULL,0
CAT,FULL,0
CCL,FULL,0
CHFJPY,FULL,0
CHFSGD,FULL,0
CIB,FULL,0
CL,FULL,0
CMPUSD,FULL,0
COCOA,FULL,0
COFFEE,FULL,0
COIN,FULL,0
CORN,FULL,0
COTTON,FULL,0
CRM,FULL,0
CSCO,FULL,0
CX,FULL,0
DAI,FULL,0
DBK,FULL,0
DG,FULL,0
DIS,FULL,0
DOGUSD,FULL,0
DOTUSD,FULL,0
DSHUSD,FULL,0
Dropbox,FULL,0
EBAY,FULL,0
EC,FULL,0
EDF,CLOSEONLY,0
EL,FULL,0
ENEL,FULL,0
ENI,FULL,0
ENIC,FULL,0
ES,FULL,0
ESCash,FULL,0
ETCUSD,FULL,0
ETH,FULL,0
ETHBTC,FULL,0
ETHUSD,FULL,0
EURAUD,FULL,0
EURCAD,FULL,0
EURCHF,FULL,0
EURCNH,FULL,0
EURGBP,FULL,0
EURJPY,FULL,0
EURMXN,FULL,0
EURNOK,FULL,0
EURNZD,FULL,0
EURPLN,FULL,0
EURSEK,FULL,0
EURSGD,FULL,0
EURTRY,CLOSEONLY,0
EURUSD,FULL,1
EWG,FULL,0
EWU,FULL,0
EWW,FULL,0
EWZ,FULL,0
F,FULL,0
FCE,FULL,0
FDAX,FULL,0
FDAXCash,FULL,0
FESX,FULL,0
FLWUSD,FULL,0
FTI,FULL,0
FTMUSD,FULL,0
FXI,FULL,0
GBPAUD,FULL,0
GBPCAD,FULL,0
GBPCHF,FULL,0
GBPJPY,FULL,0
GBPNZD,FULL,0
GBPSEK,FULL,0
GBPUSD,FULL,1
GBTC,FULL,0
GE,FULL,0
GILD,FULL,0
GME,FULL,0
GMTUSD,FULL,0
GOOGL,FULL,0
GRAMUSD,FULL,0
GS,FULL,0
GTLB,FULL,0
HD,FULL,0
HG,FULL,0
HO,FULL,0
HOG,FULL,0
HOOD,FULL,0
HPQ,FULL,0
HSI,FULL,0
IBM,FULL,0
ICPUSD,FULL,0
IDCB,DISABLED,0
IJH,CLOSEONLY,0
ILF,FULL,0
INTC,FULL,0
IOTUSD,FULL,0
ITX,DISABLED,0
JNJ,FULL,0
JPM,FULL,0
JUVE,FULL,0
KO,FULL,0
KORS,FULL,0
LNKUSD,FULL,0
LNVG,DISABLED,0
LTCBTC,FULL,0
LTCETH,FULL,0
LTCUSD,FULL,0
LTM,FULL,0
LUV,FULL,0
LYFT,FULL,0
MA,FULL,0
MARA,FULL,0
MCD,FULL,0
MELI,FULL,0
META,FULL,0
MNTV,CLOSEONLY,0
MRNA,FULL,0
MSFT,FULL,0
MTCUSD,CLOSEONLY,0
NCLH,FULL,0
NEOUSD,FULL,0
NG,FULL,0
NGASCash,FULL,0
NINTENDO_US,DISABLED,0
NIY,FULL,0
NIYCash,FULL,0
NKE,FULL,0
NOKJPY,FULL,0
NOTUSD,CLOSEONLY,0
NQ,FULL,0
NQCash,FULL,0
NVDA,FULL,0
NZDCAD,FULL,0
NZDCHF,FULL,0
NZDJPY,FULL,0
NZDUSD,FULL,0
Netflix,FULL,0
ONTUSD,FULL,0
ORCL,FULL,0
P911,FULL,0
PA,FULL,0
PBR,FULL,0
PEPEUSD,FULL,0
PFE,FULL,0
PG,FULL,0
PINS,FULL,0
PL,FULL,0
PM,FULL,0
PVH,FULL,0
QTMUSD,FULL,0
RACE,FULL,0
RCL,FULL,0
REP,FULL,0
RL,FULL,0
RNO,FULL,0
RUNEUSD,FULL,0
RYAAY,FULL,0
SAP,FULL,0
SAVE,DISABLED,0
SBAUSD,FULL,0
SBUX,FULL,0
SGDJPY,FULL,0
SIE,FULL,0
SNAP,FULL,0
SNDUSD,FULL,0
SNXUSD,FULL,0
SOLUSD,FULL,0
SOYBEAN,FULL,0
SPCE,FULL,0
SPY,FULL,0
SQM,FULL,0
SUGAR,FULL,0
SUIUSD,FULL,0
SUSHIUSD,FULL,0
Spotify,FULL,0
T,FULL,0
TA35,DISABLED,0
TCTZ,DISABLED,0
TF,FULL,0
TM,CLOSEONLY,0
TONUSD,CLOSEONLY,0
TRIP,FULL,0
TRUMPUSD,FULL,0
TRV,FULL,0
TRXUSD,FULL,0
TSLA,FULL,0
TTE,DISABLED,0
TUI,FULL,0
TWTUSD,FULL,0
UBER,FULL,0
UNH,FULL,0
UNIUSD,FULL,0
USDCAD,FULL,0
USDCHF,FULL,0
USDCLP,FULL,0
USDCNH,FULL,0
USDDKK,FULL,0
USDHKD,DISABLED,0
USDILS,DISABLED,0
USDJPY,FULL,0
USDMXN,FULL,0
USDNOK,FULL,0
USDPLN,FULL,0
USDSAR,DISABLED,0
USDSEK,FULL,0
USDSGD,FULL,0
USDTRY,CLOSEONLY,0
USDX,FULL,0
USDZAR,CLOSEONLY,0
USOILCash,FULL,0
V,FULL,0
VALE,FULL,0
VETUSD,FULL,0
VFC,FULL,0
VGK,FULL,0
VIX,FULL,0
VOD,FULL,0
VOW,FULL,0
VZ,FULL,0
WFC,FULL,0
WHEAT,FULL,0
WLDUSD,FULL,0
WSM,FULL,0
WT,FULL,0
WYNN,FULL,0
XAGUSD,FULL,0
XAUEUR,FULL,0
XAUUSD,FULL,1
XAUXAG,FULL,0
XLMUSD,FULL,0
XMRUSD,FULL,0
XOM,FULL,0
XRPUSD,FULL,0
XTZUSD,FULL,0
XU,CLOSEONLY,0
XUCash,FULL,0
YM,FULL,1
