symbol,trade_mode,in_market_watch,category
XAUUSD,FULL,1,Spot Metals
EURUSD,FULL,1,FX Majors
GBPUSD,FULL,1,FX Majors
BTCUSD,FULL,1,Crypto
NQCash,FULL,0,Indices US
BRN,FULL,1,Energy
USDJPY,FULL,0,FX Majors
AUDUSD,FULL,0,FX Majors
YM,FULL,1,Indices US
NZDUSD,FULL,0,FX Majors
USDCHF,FULL,0,FX Majors
USDCAD,FULL,0,FX Majors
AUDNZD,FULL,0,FX Crosses
AUDCAD,FULL,0,FX Crosses
AUDCHF,FULL,0,FX Crosses
AUDJPY,FULL,0,FX Crosses
CHFJPY,FULL,0,FX Crosses
EURGBP,FULL,0,FX Crosses
EURAUD,FULL,0,FX Crosses
EURCHF,FULL,0,FX Crosses
EURJPY,FULL,0,FX Crosses
EURNZD,FULL,0,FX Crosses
EURCAD,FULL,0,FX Crosses
GBPCHF,FULL,0,FX Crosses
GBPJPY,FULL,0,FX Crosses
CADCHF,FULL,0,FX Crosses
CADJPY,FULL,0,FX Crosses
EURPLN,FULL,0,FX Crosses
GBPAUD,FULL,0,FX Crosses
GBPCAD,FULL,0,FX Crosses
GBPNZD,FULL,0,FX Crosses
NZDCAD,FULL,0,FX Crosses
NZDCHF,FULL,0,FX Crosses
NZDJPY,FULL,0,FX Crosses
USDPLN,FULL,0,FX Crosses
USDCNH,FULL,0,FX Exotics
EURTRY,CLOSEONLY,0,FX Exotics
EURCNH,FULL,0,FX Exotics
CHFSGD,FULL,0,FX Exotics
EURMXN,FULL,0,FX Exotics
EURNOK,FULL,0,FX Exotics
EURSEK,FULL,0,FX Exotics
EURSGD,FULL,0,FX Exotics
GBPSEK,FULL,0,FX Exotics
NOKJPY,FULL,0,FX Exotics
SGDJPY,FULL,0,FX Exotics
USDCLP,FULL,0,FX Exotics
USDDKK,FULL,0,FX Exotics
USDMXN,FULL,0,FX Exotics
USDNOK,FULL,0,FX Exotics
USDSEK,FULL,0,FX Exotics
USDSGD,FULL,0,FX Exotics
USDTRY,CLOSEONLY,0,FX Exotics
USDZAR,CLOSEONLY,0,FX Exotics
XAGUSD,FULL,1,Spot Metals
XAUEUR,FULL,0,Spot Metals
XAUXAG,FULL,0,Spot Metals
ADAUSD,FULL,0,Crypto
APEUSD,FULL,0,Crypto
ATMUSD,FULL,0,Crypto
BCHBTC,FULL,0,Crypto
BCHUSD,FULL,0,Crypto
BTCEUR,CLOSEONLY,0,Crypto
CMPUSD,FULL,0,Crypto
DOGUSD,FULL,0,Crypto
DOTUSD,FULL,0,Crypto
DSHUSD,FULL,0,Crypto
ETCUSD,FULL,0,Crypto
ETHBTC,FULL,0,Crypto
ETHUSD,FULL,1,Crypto
GMTUSD,FULL,0,Crypto
ICPUSD,FULL,0,Crypto
IOTETH,CLOSEONLY,0,Crypto
IOTUSD,FULL,0,Crypto
LNKUSD,FULL,0,Crypto
LTCBTC,FULL,0,Crypto
LTCETH,FULL,0,Crypto
LTCUSD,FULL,0,Crypto
MTCUSD,CLOSEONLY,0,Crypto
NEOUSD,FULL,0,Crypto
ONTUSD,FULL,0,Crypto
QTMUSD,FULL,0,Crypto
SBAUSD,FULL,0,Crypto
SNXUSD,FULL,0,Crypto
SOLUSD,FULL,0,Crypto
TRXUSD,FULL,0,Crypto
UNIUSD,FULL,0,Crypto
VETUSD,FULL,0,Crypto
XLMUSD,FULL,0,Crypto
XMRUSD,FULL,0,Crypto
XRPUSD,FULL,0,Crypto
XTZUSD,FULL,0,Crypto
ZECUSD,FULL,0,Crypto
ZRXUSD,FULL,0,Crypto
FLWUSD,FULL,0,Crypto
FTMUSD,CLOSEONLY,0,Crypto
SNDUSD,CLOSEONLY,0,Crypto
TWTUSD,CLOSEONLY,0,Crypto
TRUMPUSD,FULL,0,Crypto
PEPEUSD,FULL,0,Crypto
NOTUSD,CLOSEONLY,0,Crypto
