date,MT4 Market,MT4 Instant,MT5 Market,MT5 Instant,MT4 Market (Cyprus),MT5 Market (Cyprus)
2026-05-25,248,256,275,275,248,275
2026-05-26,248,256,275,275,248,275
2026-05-27,248,256,275,275,248,275
2026-05-28,248,256,275,275,248,275
2026-05-29,248,256,251,249,248,275
2026-06-01,248,256,251,249,248,275
2026-06-02,248,256,251,249,248,275
2026-06-03,248,256,251,249,248,275
2026-06-04,248,256,251,249,248,275
2026-06-05,248,256,250,249,248,275
2026-06-08,249,257,250,249,249,275
2026-06-09,249,257,250,249,249,275
2026-06-10,249,257,250,249,249,275
2026-06-11,249,257,250,249,249,275
2026-06-12,249,257,250,249,249,275
2026-06-15,248,256,250,249,248,275
2026-06-16,248,258,250,249,248,275
2026-06-17,248,258,250,249,248,275
2026-06-18,248,258,250,249,248,275
2026-06-19,248,258,250,249,248,275
2026-06-22,255,263,256,255,255,275
2026-06-23,255,263,256,255,255,275
2026-06-24,255,263,256,255,255,275
2026-06-25,255,263,256,255,255,275
2026-06-26,255,263,256,255,255,275
2026-06-29,255,263,256,255,255,275
2026-06-30,255,263,256,255,255,275
2026-07-01,255,263,256,255,255,275
2026-07-02,255,263,256,255,255,275
2026-07-03,255,263,256,255,255,275
2026-07-06,255,263,256,255,255,275
2026-07-07,255,263,256,255,255,275
2026-07-08,255,263,256,255,255,275
2026-07-09,255,263,256,255,255,275
2026-07-10,255,263,256,255,255,275
